cz,city,state,stateabbrv,kid_count,inventor,kid_count_m,inventor_m,inventor_f,kid_count_f,inventor_pq_1,inventor_pq_2,inventor_pq_3,inventor_pq_4,inventor_pq_5
100,Johnson City,Tennessee,TN,29001,0.0016206,14658,0.0027971,0.0004183,14343,0.0004671,0.0008548,0.0008612,0.0015955,0.0067058
200,Morristown,Tennessee,TN,12212,0.0011464,6199,0.0019358,0.0003327,6012,0.0009337,0.0009208,0.0013666,0.0021265,0
301,Middlesborough,Tennessee,TN,3347,0.0005976,1683,0.0005942,0.000601,1664,0.0008636,0.001001,0,0,
302,Knoxville,Tennessee,TN,37791,0.0018258,19001,0.0029472,0.0006926,18770,0.0002689,0.0010001,0.0016332,0.00122,0.0052722
401,Winston-Salem,North Carolina,NC,26286,0.0019402,13280,0.0031627,0.0006921,13004,0.000222,0,0.0022757,0.0024792,0.004308
402,Martinsville,Virginia,VA,5300,0.000566,2678,0.0007468,0.0003814,2622,0,0,0,0.0014306,0.0044543
500,Greensboro,North Carolina,NC,54311,0.0015651,27258,0.0025681,0.0005545,27050,0.0004628,0.0003169,0.0010858,0.0014106,0.0053261
601,North Wilkesboro,North Carolina,NC,4703,0.0008505,2417,0.0012412,0.0004374,2286,0,0.0007541,0.000846,0.0029326,0
602,Galax,Virginia,VA,2938,0.0003404,1507,0,0.0006988,1431,0,0,0,0.0024038,
700,Spartanburg,South Carolina,SC,19529,0.0011777,9758,0.0020496,0.0003071,9770,0,0.000201,0.0014461,0.0016393,0.0039093
800,Gastonia,North Carolina,NC,23429,0.0011097,11913,0.001511,0.0006947,11516,0.0002071,0.0001722,0.0007631,0.0018828,0.0039711
900,Charlotte,North Carolina,NC,76053,0.0017225,38140,0.0025957,0.0008441,37908,0.0002858,0.0007544,0.0012942,0.0013112,0.0045318
1001,Boone,North Carolina,NC,3329,0.0009012,1712,0.0017523,0,1617,0,0,0.0025253,0.0020576,0
1002,Morganton,North Carolina,NC,8166,0.0006123,4147,0.0012057,0,4016,0,0.000439,0.0004458,0.0014205,0.001642
1100,Hickory,North Carolina,NC,20040,0.0016966,10122,0.002865,0.0005042,9917,0.0002837,0.0006236,0.0012856,0.0016548,0.0060563
1201,Franklin,North Carolina,NC,2064,0.000969,1065,0.0018779,0,999,0,0,0,0,
1202,Sylva,North Carolina,NC,2644,0.0015129,1394,0.0021521,0.0008,1250,0,0,0.0033557,0,
1203,Asheville,North Carolina,NC,19441,0.0014917,9913,0.0024211,0.0005248,9528,0.0007878,0.0009025,0.0011096,0.0025523,0.0025207
1204,Andrews,North Carolina,NC,2819,0.0007095,1421,0.0014075,0,1398,0,0.0012594,0.0014903,0,
1301,Bennettsville,South Carolina,SC,4668,0.0006427,2355,0.0004246,0.0008647,2313,0.0005814,0,0,0.0019646,
1302,Florence,South Carolina,SC,33268,0.0006312,16510,0.0009691,0.0002984,16758,0,0.0002387,0.0007442,0.0023663,0.0016426
1400,Fayetteville,North Carolina,NC,39260,0.0008151,19553,0.001432,0.000203,19706,0.0002622,0.0001888,0.0007396,0.002052,0.0027531
1500,Wilmington,North Carolina,NC,18429,0.0010852,9307,0.0017191,0.0004385,9122,0.0001928,0.0004812,0.0012184,0.0003128,0.004603
1600,Wilson,North Carolina,NC,13562,0.0005899,6784,0.0008844,0.0002951,6778,0,0,0.0012942,0.000994,0.0017889
1701,Raleigh,North Carolina,NC,67194,0.0029913,33593,0.0046141,0.0013696,33587,0.0000928,0.0004619,0.0015551,0.0038848,0.006677
1702,Henderson,North Carolina,NC,3675,0.0008163,1816,0.001652,0,1859,0,0.0009083,0.0017986,0.0023866,
1800,Goldsboro,North Carolina,NC,12154,0.0008228,5975,0.0015063,0.0001618,6179,0.0002943,0.0012214,0.00117,0.0005376,0.0009461
1900,Jacksonville,North Carolina,NC,29433,0.001359,14789,0.0023666,0.0003415,14640,0.000137,0.0011145,0.0010796,0.0019505,0.0041841
2000,Virginia Beach,Virginia,VA,67569,0.0010064,34011,0.0015877,0.0004172,33557,0.0000724,0.0003439,0.0009896,0.0010952,0.0030858
2100,Washington,North Carolina,NC,7359,0.0013589,3601,0.0019439,0.0007983,3758,0.0004268,0,0.0027682,0.0036069,0.0014245
2200,South Boston,Virginia,VA,8528,0.0007036,4244,0.0011781,0.0002334,4284,0,0.0008203,0.0011567,0.0007905,0.0017271
2300,Lynchburg,Virginia,VA,12421,0.0009661,6329,0.00158,0.0003284,6091,0.0004354,0,0.000353,0.0003744,0.0045616
2400,Richmond,Virginia,VA,59409,0.0017674,29711,0.0027599,0.0007746,29691,0.0005139,0.0002737,0.0007472,0.0014189,0.0046327
2500,Newport News,Virginia,VA,33704,0.0015132,17000,0.0024118,0.0005987,16703,0.0001513,0.0002924,0.0014761,0.001662,0.0044787
2600,Roanoke Rapids,North Carolina,NC,9231,0.00065,4610,0.0008677,0.0004328,4621,0.0002673,0.0003779,0.0014235,0.0010582,0.0020243
2700,Gulfport,Mississippi,MS,28312,0.0007064,14207,0.0010558,0.0003545,14104,0.0002611,0.0002902,0.0004795,0.0018868,0.0014631
2800,Laurel,Mississippi,MS,7792,0.0005133,3981,0.0010048,0,3811,0,0,0.0013928,0.0010582,0.0019646
2900,Hattiesburg,Mississippi,MS,10375,0.0003855,5135,0.0005842,0.0001909,5239,0.0002763,0,0,0,0.0030334
3001,Kosciusko,Mississippi,MS,3319,0,1608,0,0,1711,0,0,0,,
3002,Yazoo City,Mississippi,MS,3141,0,1526,0,0,1612,0,0,0,0,
3003,Jackson,Mississippi,MS,37168,0.0007533,18645,0.0012872,0.0002161,18513,0.0001702,0.0003341,0.0006773,0.0009179,0.0027537
3101,McComb,Mississippi,MS,7425,0.0002694,3782,0.0005288,0,3642,0,0.0005479,0,0,0.0023529
3102,Brookhaven,Mississippi,MS,3308,0.0009069,1710,0.0011696,0.0006258,1598,0.0008905,0,0.001626,0.0021053,0
3201,Jena,Louisiana,LA,1836,0,902,0,0,934,0,0,0,,
3202,Natchez,Mississippi,MS,5248,0.0001905,2585,0.0003868,0,2663,0,0,0,0,0.0024631
3203,Vicksburg,Mississippi,MS,6238,0.0004809,3076,0.0009753,0,3162,0.00042,0,0,0.0013106,0.0015129
3300,New Orleans,Louisiana,LA,92264,0.0012356,45766,0.0021195,0.0003658,46479,0.0004282,0.0004965,0.0008653,0.0013257,0.0040692
3400,Houma,Louisiana,LA,20165,0.0007935,9942,0.0015088,0.0000978,10220,0.0001939,0.0002286,0.0009058,0.0007528,0.0031362
3500,Baton Rouge,Louisiana,LA,54918,0.00122,27508,0.0021085,0.0003288,27371,0.0002052,0.0003492,0.0008587,0.0015764,0.0038392
3600,Alexandria,Louisiana,LA,13406,0.0002984,6746,0.0005929,0,6659,0.0002215,0,0.0008306,0,0.000777
3700,Lake Charles,Louisiana,LA,23418,0.0008967,11775,0.0014437,0.0003436,11642,0.0001823,0.0005996,0.0005969,0.0008423,0.0031706
3800,Lafayette,Louisiana,LA,39161,0.0009448,19507,0.0016917,0.0002036,19651,0.000359,0.0002359,0.001171,0.0012123,0.0026636
3901,Monroe,Louisiana,LA,17884,0.0006151,8893,0.0011245,0.0001112,8991,0.0001503,0.0002508,0.0013518,0.0016013,0.0005596
3902,Lake Providence,Louisiana,LA,1640,0.0006098,791,0,0.0011779,849,0,0,,,
4001,Magnolia,Arkansas,AR,2303,0.0008684,1167,0.0017138,0,1136,0,0.0018051,0,0,
4002,Shreveport,Louisiana,LA,34528,0.0006372,17390,0.0012076,0.0000584,17130,0.0002619,0.0002479,0.0004946,0.0007896,0.0025813
4003,Ruston,Louisiana,LA,4843,0.0008259,2429,0.0008234,0.0008285,2414,0,0.0008598,0.0010977,0.0013477,0.0018349
4004,Many,Louisiana,LA,1486,0.0013459,741,0.0026991,0,745,0,0,0,,
4101,Crossett,Arkansas,AR,1714,0,844,0,0,870,0,0,0,0,
4102,Pine Bluff,Arkansas,AR,11446,0.0006116,5769,0.0006934,0.0005286,5675,0,0.0003256,0.0004975,0.0020107,0.0022805
4103,El Dorado,Arkansas,AR,6306,0.0004757,3257,0.0009211,0,3049,0,0,0.0008097,0,0.0037736
4200,Little Rock,Arkansas,AR,38748,0.0008258,19544,0.0014838,0.0001562,19202,0,0.0002257,0.000636,0.0014881,0.0021892
4301,Stuttgart,Arkansas,AR,2722,0,1336,0,0,1386,0,0,0,0,
