state, kid_count,inventor_count,kid_count_m,inventor_count_m,kid_count_f,inventor_count_f,inventor_percent,inventor_percent_m,inventor_percent_f,inventor_pq_1,inventor_pq_2,inventor_pq_3,inventor_pq_4,inventor_pq_5
,0,0,0,0,0,0,,,,,,,,
Wyoming,40220,79,20357,68,19859,11,0.196,86.08,13.92,0.0004671,0.0008548,0.0008612,0.0015955,0.0067058
Vermont,41938,142,21217,123,20719,19,0.339,86.62,13.38,0.0009337,0.0009208,0.0013666,0.0021265,0
Alaska,42401,85,21136,71,20385,13,0.200,83.53,15.29,0.0008636,0.001001,0,0,
North Dakota,52360,138,26148,118,25895,17,0.264,85.51,12.32,0.0002689,0.0010001,0.0016332,0.00122,0.0052722
South Dakota,53053,129,26271,110,25991,16,0.243,85.27,12.40,0.000222,0,0.0022757,0.0024792,0.004308
Delaware,57476,119,28988,98,28487,21,0.207,82.35,17.65,0,0,0,0.0014306,0.0044543
Montana,58756,137,29422,114,28717,19,0.233,83.21,13.87,0.0004628,0.0003169,0.0010858,0.0014106,0.0053261
Hawaii,62648,95,31514,70,31127,25,0.152,73.68,26.32,0,0.0007541,0.000846,0.0029326,0
Maine,65984,159,33210,123,32771,36,0.241,77.36,22.64,0,0,0,0.0024038,
Idaho,75155,181,38292,158,36857,23,0.241,87.29,12.71,0,0.000201,0.0014461,0.0016393,0.0039093
New Hampshire,78795,286,39613,223,39180,63,0.363,77.97,22.03,0.0002071,0.0001722,0.0007631,0.0018828,0.0039711
West Virginia,80082,98,40394,73,39687,25,0.122,74.49,25.51,0.0002858,0.0007544,0.0012942,0.0013112,0.0045318
Rhode Island,80887,215,40742,169,40141,46,0.266,78.61,21.40,0,0,0.0025253,0.0020576,0
Nevada,95547,142,47808,121,47383,21,0.149,85.21,14.79,0,0.000439,0.0004458,0.0014205,0.001642
New Mexico,105613,211,52689,170,51872,40,0.200,80.57,18.96,0.0002837,0.0006236,0.0012856,0.0016548,0.0060563
Nebraska,117657,210,58976,170,58265,40,0.178,80.95,19.05,0,0,0,0,
Kansas,132385,223,66064,187,64676,34,0.168,83.86,15.25,0,0,0.0033557,0,
Maryland,157191,325,78039,254,79144,71,0.207,78.15,21.85,0.0007878,0.0009025,0.0011096,0.0025523,0.0025207
Utah,170910,518,86931,446,83957,72,0.303,86.10,13.90,0,0.0012594,0.0014903,0,
Connecticut,171565,560,86019,448,85522,112,0.326,80.00,20.00,0.0005814,0,0,0.0019646,
Arkansas,172196,137,87162,117,85026,20,0.080,85.40,14.60,0,0.0002387,0.0007442,0.0023663,0.0016426
Iowa,176936,471,88962,402,87974,69,0.266,85.35,14.65,0.0002622,0.0001888,0.0007396,0.002052,0.0027531
Mississippi,188621,101,94601,86,94003,15,0.054,85.15,14.85,0.0001928,0.0004812,0.0012184,0.0003128,0.004603
Oklahoma,200423,296,101014,256,99353,40,0.148,86.49,13.51,0,0,0.0012942,0.000994,0.0017889
South Carolina,204168,216,101951,165,102208,51,0.106,76.39,23.61,0.0000928,0.0004619,0.0015551,0.0038848,0.006677
Oregon,209193,560,105588,473,103325,87,0.268,84.46,15.54,0,0.0009083,0.0017986,0.0023866,
Kentucky,226212,269,113827,217,112381,52,0.119,80.67,19.33,0.0002943,0.0012214,0.00117,0.0005376,0.0009461
District of Columbia,231014,613,114724,492,116278,121,0.265,80.26,19.74,0.000137,0.0011145,0.0010796,0.0019505,0.0041841
Colorado,237984,670,120162,556,117112,114,0.282,82.98,17.02,0.0000724,0.0003439,0.0009896,0.0010952,0.0030858
Arizona,249911,508,125894,413,124002,95,0.203,81.30,18.70,0.0004268,0,0.0027682,0.0036069,0.0014245
Alabama,259258,207,130319,170,128909,37,0.080,82.13,17.87,0,0.0008203,0.0011567,0.0007905,0.0017271
Massachusetts,282994,1048,141730,826,140863,221,0.370,78.82,21.09,0.0004354,0,0.000353,0.0003744,0.0045616
Virginia,288940,413,145591,343,143339,70,0.143,83.05,16.95,0.0005139,0.0002737,0.0007472,0.0014189,0.0046327
Louisiana,305549,299,152390,259,153085,40,0.098,86.62,13.38,0.0001513,0.0002924,0.0014761,0.001662,0.0044787
Minnesota,313306,1175,157630,968,155373,205,0.375,82.38,17.45,0.0002673,0.0003779,0.0014235,0.0010582,0.0020243
New Jersey,331245,1069,165166,822,166026,247,0.323,76.89,23.11,0.0002611,0.0002902,0.0004795,0.0018868,0.0014631
Wisconsin,331813,1124,166583,938,165219,186,0.339,83.45,16.55,0,0,0.0013928,0.0010582,0.0019646
